run,heuristic_name,found,path_cost,nodes_expanded,time_ms
0,Manhattan,1,27.0,87,0.17350001144222915
0,Euclidean,1,27.0,129,0.19660001271404326
0,Chebyshev,1,27.0,179,0.27099999715574086
1,Manhattan,1,23.0,51,0.07829998503439128
1,Euclidean,1,23.0,51,0.08090000483207405
1,Chebyshev,1,23.0,61,0.08960001287050545
2,Manhattan,1,52.0,539,1.1591000074986368
2,Euclidean,1,52.0,677,0.734600005671382
2,Chebyshev,1,52.0,738,0.8794000023044646
3,Manhattan,1,4.0,9,0.018499995348975062
3,Euclidean,1,4.0,9,0.01780001912266016
3,Chebyshev,1,4.0,11,0.01990000600926578
4,Manhattan,1,52.0,499,0.5615999980363995
4,Euclidean,1,52.0,638,0.6915999983903021
4,Chebyshev,1,52.0,680,0.7856000156607479
5,Manhattan,1,16.0,43,0.061700004152953625
5,Euclidean,1,16.0,56,0.06969997775740921
5,Chebyshev,1,16.0,70,0.09250000584870577
6,Manhattan,1,49.0,407,0.5005999992135912
6,Euclidean,1,49.0,647,0.7611000037286431
6,Chebyshev,1,49.0,781,0.9476999985054135
7,Manhattan,1,18.0,54,0.07080001523718238
7,Euclidean,1,18.0,71,0.08680002065375447
7,Chebyshev,1,18.0,79,0.1016999885905534
8,Manhattan,1,36.0,192,0.21680002100765705
8,Euclidean,1,36.0,257,0.29039999935775995
8,Chebyshev,1,36.0,307,0.371600006474182
9,Manhattan,1,40.0,277,0.32469999860040843
9,Euclidean,1,40.0,405,0.49199999193660915
9,Chebyshev,1,40.0,471,0.5682000191882253
10,Manhattan,1,55.0,518,0.5997999978717417
10,Euclidean,1,55.0,739,0.8124999876599759
10,Chebyshev,1,55.0,776,0.9239999926649034
11,Manhattan,1,21.0,45,0.06319998647086322
11,Euclidean,1,21.0,75,0.09270000737160444
11,Chebyshev,1,21.0,123,0.15180002083070576
12,Manhattan,1,32.0,155,0.1807000080589205
12,Euclidean,1,32.0,261,0.29399999766610563
12,Chebyshev,1,32.0,316,0.38180002593435347
13,Manhattan,1,14.0,41,0.05810000584460795
13,Euclidean,1,14.0,53,0.06719998782500625
13,Chebyshev,1,14.0,71,0.09399998816661537
14,Manhattan,1,56.0,435,0.5741999775636941
14,Euclidean,1,56.0,713,0.822000001790002
14,Chebyshev,1,56.0,769,0.9103000047616661
15,Manhattan,1,26.0,113,0.1370000245515257
15,Euclidean,1,26.0,185,0.2108000044245273
15,Chebyshev,1,26.0,210,0.25400001322850585
16,Manhattan,1,7.0,12,0.022100022761151195
16,Euclidean,1,7.0,12,0.0219999928958714
16,Chebyshev,1,7.0,16,0.027300004148855805
17,Manhattan,1,26.0,149,0.17630000365898013
17,Euclidean,1,26.0,184,0.20670000230893493
17,Chebyshev,1,26.0,233,0.2820999943651259
18,Manhattan,1,35.0,165,0.1970000157598406
18,Euclidean,1,35.0,307,0.3454000107012689
18,Chebyshev,1,35.0,376,0.45419999514706433
19,Manhattan,1,27.0,70,0.09050001972354949
19,Euclidean,1,27.0,131,0.15219999477267265
19,Chebyshev,1,27.0,167,0.2148000057786703
20,Manhattan,1,21.0,61,0.07770000956952572
20,Euclidean,1,21.0,100,0.11419999646022916
20,Chebyshev,1,21.0,127,0.16060000052675605
21,Manhattan,1,20.0,96,0.11529997573234141
21,Euclidean,1,20.0,118,0.13470000703819096
21,Chebyshev,1,20.0,132,0.1720000000204891
22,Manhattan,1,10.0,18,0.026299996534362435
22,Euclidean,1,10.0,20,0.028000009479001164
22,Chebyshev,1,10.0,24,0.03360002301633358
23,Manhattan,1,48.0,220,0.24620001204311848
23,Euclidean,1,48.0,263,0.29329999233596027
23,Chebyshev,1,48.0,322,0.3831000067293644
24,Manhattan,1,17.0,38,0.0557999883312732
24,Euclidean,1,17.0,59,0.072900002123788
24,Chebyshev,1,17.0,80,0.10569998994469643
25,Manhattan,1,43.0,320,0.36020000698044896
